# Time-averaged data for fix avgRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2]
5100 150
1 0.0326667 0
2 0.098 0
3 0.163333 0
4 0.228667 0
5 0.294 0
6 0.359333 0
7 0.424667 0
8 0.49 0
9 0.555333 0
10 0.620667 0
11 0.686 0
12 0.751333 0
13 0.816667 0
14 0.882 0
15 0.947333 0
16 1.01267 0
17 1.078 0
18 1.14333 0
19 1.20867 0
20 1.274 0
21 1.33933 0
22 1.40467 0
23 1.47 0
24 1.53533 0
25 1.60067 0
26 1.666 0
27 1.73133 0
28 1.79667 0
29 1.862 0
30 1.92733 0
31 1.99267 0
32 2.058 0
33 2.12333 0
34 2.18867 0
35 2.254 0
36 2.31933 0
37 2.38467 0
38 2.45 0
39 2.51533 0.186326
40 2.58067 1.06207
41 2.646 2.02055
42 2.71133 2.64598
43 2.77667 3.13456
44 2.842 2.70019
45 2.90733 2.02232
46 2.97267 1.40078
47 3.038 1.02185
48 3.10333 0.918075
49 3.16867 0.939315
50 3.234 0.789029
51 3.29933 0.758091
52 3.36467 0.520669
53 3.43 0.901843
54 3.49533 0.868445
55 3.56067 0.790376
56 3.626 0.851816
57 3.69133 0.821931
58 3.75667 1.1695
59 3.822 0.928102
60 3.88733 0.975182
61 3.95267 0.905484
62 4.018 0.912789
63 4.08333 1.02522
64 4.14867 1.30142
65 4.214 1.39416
66 4.27933 0.997839
67 4.34467 1.12419
68 4.41 1.0002
69 4.47533 0.853491
70 4.54067 1.4295
71 4.606 1.30588
72 4.67133 0.945451
73 4.73667 1.02464
74 4.802 1.25258
75 4.86733 1.29382
76 4.93267 0.896379
77 4.998 0.825903
78 5.06333 1.05764
79 5.12867 1.00846
80 5.194 0.895847
81 5.25933 1.06552
82 5.32467 1.01874
83 5.39 1.01449
84 5.45533 0.831881
85 5.52067 1.00571
86 5.586 0.906764
87 5.65133 0.922833
88 5.71667 0.865786
89 5.782 1.02265
90 5.84733 0.775804
91 5.91267 0.977949
92 5.978 1.15463
93 6.04333 0.726298
94 6.10867 0.931997
95 6.174 0.958769
96 6.23933 0.878228
97 6.30467 1.05291
98 6.37 1.075
99 6.43533 0.854014
100 6.50067 0.976423
101 6.566 0.957089
102 6.63133 1.1662
103 6.69667 1.11727
104 6.762 1.09578
105 6.82733 1.20137
106 6.89267 0.905742
107 6.958 0.998393
108 7.02333 1.11136
109 7.08867 1.32558
110 7.154 0.944436
111 7.21933 1.04052
112 7.28467 1.05526
113 7.35 1.01476
114 7.41533 1.09344
115 7.48067 1.13763
116 7.546 1.06625
117 7.61133 0.854702
118 7.67667 1.00026
119 7.742 0.983446
120 7.80733 1.03475
121 7.87267 0.932051
122 7.938 0.916771
123 8.00333 0.92027
124 8.06867 1.14989
125 8.134 0.890941
126 8.19933 1.18368
127 8.26467 0.957921
128 8.33 1.06188
129 8.39533 0.936698
130 8.46067 0.9964
131 8.526 1.03795
132 8.59133 0.942363
133 8.65667 0.912461
134 8.722 0.953083
135 8.78733 0.839723
136 8.85267 0.977806
137 8.918 0.882002
138 8.98333 1.12487
139 9.04867 1.04389
140 9.114 1.17801
141 9.17933 0.986404
142 9.24467 0.903538
143 9.31 0.850097
144 9.37533 1.01936
145 9.44067 0.89948
146 9.506 1.05676
147 9.57133 1.04238
148 9.63667 1.14255
149 9.702 1.0145
150 9.76733 0.951539
5200 150
1 0.0326667 0
2 0.098 0
3 0.163333 0
4 0.228667 0
5 0.294 0
6 0.359333 0
7 0.424667 0
8 0.49 0
9 0.555333 0
10 0.620667 0
11 0.686 0
12 0.751333 0
13 0.816667 0
14 0.882 0
15 0.947333 0
16 1.01267 0
17 1.078 0
18 1.14333 0
19 1.20867 0
20 1.274 0
21 1.33933 0
22 1.40467 0
23 1.47 0
24 1.53533 0
25 1.60067 0
26 1.666 0
27 1.73133 0
28 1.79667 0
29 1.862 0
30 1.92733 0
31 1.99267 0
32 2.058 0
33 2.12333 0
34 2.18867 0
35 2.254 0
36 2.31933 0
37 2.38467 0
38 2.45 0
39 2.51533 0.186326
40 2.58067 1.06207
41 2.646 2.35731
42 2.71133 2.32526
43 2.77667 2.98165
44 2.842 2.18934
45 2.90733 1.74338
46 2.97267 1.46748
47 3.038 1.72437
48 3.10333 0.97928
49 3.16867 0.880608
50 3.234 0.619951
51 3.29933 1.19129
52 3.36467 0.885138
53 3.43 0.801638
54 3.49533 1.01319
55 3.56067 0.557912
56 3.626 0.762151
57 3.69133 1.03823
58 3.75667 0.877127
59 3.822 0.847397
60 3.88733 0.85816
61 3.95267 0.716841
62 4.018 1.02232
63 4.08333 1.16663
64 4.14867 0.924692
65 4.214 1.39416
66 4.27933 1.06222
67 4.34467 0.78069
68 4.41 1.3033
69 4.47533 1.35381
70 4.54067 1.25796
71 4.606 0.944677
72 4.67133 1.21558
73 4.73667 1.18228
74 4.802 1.07364
75 4.86733 1.11965
76 4.93267 1.09019
77 4.998 0.943889
78 5.06333 1.03465
79 5.12867 1.07569
80 5.194 1.11435
81 5.25933 1.0229
82 5.32467 0.810838
83 5.39 0.933329
84 5.45533 1.02995
85 5.52067 0.812308
86 5.586 0.925654
87 5.65133 0.867463
88 5.71667 0.992046
89 5.782 0.969754
90 5.84733 0.810284
91 5.91267 0.910505
92 5.978 1.03916
93 6.04333 0.887697
94 6.10867 0.853014
95 6.174 1.17527
96 6.23933 0.984221
97 6.30467 0.667335
98 6.37 0.973311
99 6.43533 0.868248
100 6.50067 1.00432
101 6.566 1.27156
102 6.63133 1.09918
103 6.69667 1.01211
104 6.762 1.10868
105 6.82733 1.17608
106 6.89267 0.81889
107 6.958 0.913164
108 7.02333 1.15916
109 7.08867 0.915002
110 7.154 1.12872
111 7.21933 0.98397
112 7.28467 0.877535
113 7.35 1.1457
114 7.41533 0.996962
115 7.48067 1.10603
116 7.546 1.04555
117 7.61133 1.20065
118 7.67667 1.05027
119 7.742 0.904771
120 7.80733 0.976727
121 7.87267 1.02716
122 7.938 1.24419
123 8.00333 1.0307
124 8.06867 0.896373
125 8.134 0.980035
126 8.19933 0.964479
127 8.26467 1.0097
128 8.33 0.959944
129 8.39533 1.04542
130 8.46067 1.01287
131 8.526 0.956861
132 8.59133 1.07014
133 8.65667 0.975389
134 8.722 0.914339
135 8.78733 1.00767
136 8.85267 0.962763
137 8.918 0.970944
138 8.98333 1.09566
139 9.04867 1.05109
140 9.114 0.936728
141 9.17933 1.04937
142 9.24467 0.938025
143 9.31 0.96571
144 9.37533 1.05289
145 9.44067 0.98546
146 9.506 0.998053
147 9.57133 1.07456
148 9.63667 0.958476
149 9.702 0.945611
150 9.76733 0.976255
5300 150
1 0.0326667 0
2 0.098 0
3 0.163333 0
4 0.228667 0
5 0.294 0
6 0.359333 0
7 0.424667 0
8 0.49 0
9 0.555333 0
10 0.620667 0
11 0.686 0
12 0.751333 0
13 0.816667 0
14 0.882 0
15 0.947333 0
16 1.01267 0
17 1.078 0
18 1.14333 0
19 1.20867 0
20 1.274 0
21 1.33933 0
22 1.40467 0
23 1.47 0
24 1.53533 0
25 1.60067 0
26 1.666 0
27 1.73133 0
28 1.79667 0
29 1.862 0
30 1.92733 0
31 1.99267 0
32 2.058 0
33 2.12333 0
34 2.18867 0
35 2.254 0
36 2.31933 0
37 2.38467 0
38 2.45 0
39 2.51533 0.372653
40 2.58067 1.06207
41 2.646 1.17865
42 2.71133 2.48562
43 2.77667 3.13456
44 2.842 3.06508
45 2.90733 1.74338
46 2.97267 1.40078
47 3.038 1.21345
48 3.10333 0.73446
49 3.16867 1.29156
50 3.234 0.619951
51 3.29933 0.703941
52 3.36467 1.09341
53 3.43 0.551126
54 3.49533 0.723704
55 3.56067 0.883361
56 3.626 0.896649
57 3.69133 0.821931
58 3.75667 1.29481
59 3.822 0.928102
60 3.88733 0.936175
